pmid,title,abstract,year
41764728,Comprehensive immune repertoire profiling reveals distinct characteristics in Kawasaki disease and a mouse model.,"Kawasaki disease (KD) is a pediatric systemic vasculitis of unknown etiology. Although infections are thought to trigger the disease, the antigen-specific adaptive immune responses remain poorly characterized. This study aimed to comprehensively profile the adaptive immune response in KD patients using omics data to improve diagnosis and to assess how faithfully the Candida albicans water-soluble fraction (CAWS) mouse model recapitulates human KD immunopathology. We performed high-throughput sequencing of B-cell and T-cell receptor repertoires (BCR/TCR) in clinical cohorts comprising KD patients, febrile controls, and healthy children. A CAWS-induced vasculitis mouse model was established for comparative pathological and immunological analysis. We assessed immune repertoire diversity, clonal expansion, V(D)J gene usage, and clonal distribution. A previously developed physics and mathematics based model, was applied to classify immune states. KD patients showed oligoclonal expansion in the Ig-A and TCR-β repertoires, accompanied by significantly reduced diversity, consistent with antigen-driven clonal selection. The model effectively discriminated KD patients from control groups and identified misclassified febrile cases. Although the CAWS model recapitulated human-like coronary vasculitis and immune infiltration, it did not mirror the oligoclonal immune response seen in patients. Instead, the model exhibited polyclonal B-cell activation, increased Ig-G diversity, and predominant Ig-M expansion. Our findings reveal antigen-specific adaptive immune mechanisms in KD and provide an immune repertoire-based framework for diagnostic discrimination using minimal sample input. The marked divergence between human and mouse immune responses highlights the limitations of current animal models and underscores the need for more human-relevant systems to study KD pathogenesis and therapeutic strategies.",2026
41743736,Human serum influences functional plasticity and transcriptomic landscape of γδ T cells ,"γδ T cells are emerging as a promising platform for adoptive cell therapy due to their ability to recognize tumors independently of MHC and their minimal risk of causing graft-versus-host disease. While serum-supplemented media have traditionally been used for T cell expansion, they can present limitations including xenogeneic contaminants and batch variability. These issues can compromise T cell phenotype, function, and clinical reproducibility. In this study, we evaluated the impact of human serum on the expansion, phenotype, function, and transcriptomic landscape of Vγ9Vδ2 γδ T cells cultured with zoledronate and cytokines under serum-free versus serum-containing conditions. We evaluated cytotoxicity against triple-negative breast cancer cell lines, activation and checkpoint marker expression, and cytokine secretion. Single-cell RNA and TCR sequencing revealed consistent differentiation trajectories across donors in both conditions and gene expression dynamics during a two-week expansion period. Our results show that serum-free culture supports robust γδ T cell expansion with higher purity and an activated phenotype marked by increased activation markers and reduced checkpoint receptor expression. Serum-free expanded cells displayed comparable or enhanced cytotoxicity and cytokine production, especially IFN-γ. TCR repertoire diversity was preserved without clonal skewing in both conditions. Furthermore, re-exposure to serum late in culture had minimal influence on γδ T cell functionality. These findings demonstrate the feasibility and advantages of serum-free expansion protocols for Vγ9Vδ2 γδ T cells, offering improved consistency, safety, and therapeutic potential.",2026
41716402,TCR β CDR3 repertoire remodeling in pediatric myocarditis reveals clonal expansion and disease-associated public clonotypes.,Pediatric myocarditis is an inflammatory disease of the heart with heterogeneous clinical presentations and poorly understood immune mechanisms. T cell receptor (TCR) repertoire profiling provides insights into disease-associated adaptive immune responses.,2026
41686909,De novo identification of the specificities of recurrently identified human T cell receptors.,"T cell repertoires of different individuals occasionally converge on the same T cell receptor (TCR) sequence as a solution to target immunodominant epitopes. A complete mapping of these ""public"" TCR specificities may enable a global understanding of population-level immune histories. Here, we sought to determine the antigen specificities of public TCRs with unknown target identity. We developed a functional screening workflow in which we screen panels of TCRs for reactivity to individual viral genomes or to ~1000 viral reference strains and then sort out the immunogenic peptides by labeling antigen-presenting cells that are in proximity to activated T cells. Using this workflow, we identified the target specificities of T cells that are circulating in up to 14% of individuals, including a pre-COVID-19 seasonal coronavirus-reactive TCR that cross-reacts with peptides within pandemic coronaviruses; an influenza B-reactive TCR that targets a highly conserved epitope; and TCRs targeting Herpesviridae family viruses that cause long-term latent infections. Our results demonstrate an efficient strategy to reveal public T cell memories de novo, offering a window into shared immune exposures.",2026
41686902,Identification of a type 1 diabetes-associated T cell receptor repertoire signature from the human peripheral blood.,"Type 1 diabetes (T1D) is a T cell-mediated disease with a strong immunogenetic human leukocyte antigen (HLA) dependence. HLA allelic influence on the T cell receptor (TCR) repertoire shapes thymic selection and controls activation of diabetogenic clones yet remains largely unresolved in T1D. We sequenced the circulating TCRβ chain repertoire from 2250 HLA-typed participants across three cross-sectional cohorts, including individuals with T1D and healthy related and unrelated controls. We found that HLA risk alleles show higher restriction of TCR repertoires in individuals with T1D. We leveraged deep learning to identify T1D-associated TCR subsequence motifs that were also observed in independent TCR cohorts residing in pancreas-draining lymph nodes of individuals with T1D. Collectively, our data demonstrate T1D-related TCR motif enrichment based on genetic risk, offering a potential metric for autoreactivity and groundwork for TCR-based diagnostics and therapeutics.",2026
41680899,Inference of SARS-CoV-2 exposure biomarkers using large-scale T-cell repertoire profiling.,"The COVID-19 pandemic offers a powerful opportunity to develop methods for monitoring the spread of infectious diseases based on their signatures in population immunity. Adaptive immune receptor repertoire sequencing (AIRR-seq) has become the method of choice for identifying T cell receptor (TCR) biomarkers encoding pathogen specificity and immunological memory. AIRR-seq can detect imprints of past and ongoing infections and facilitate the study of individual responses to SARS-CoV-2, as shown in many recent studies.",2026
41673808,A multi-branch ensemble learning framework for detection of non-small cell lung cancer via T-cell receptor sequencing.,"Early detection of non-small cell lung cancer (NSCLC) is paramount for patient survival, but conventional diagnostics are often invasive. T-cell receptor (TCR) sequencing of peripheral blood offers a non-invasive alternative by capturing the systemic immune response, but its complex data requires advanced analytical methods.",2026
41672595,Genetically engineered ErbB2 overexpression sensitizes organoid-derived tumors to checkpoint inhibition in a syngeneic model of gastric cancer.,ERBB2/HER2 is overexpressed or mutated in ~15% of gastric cancers due to amplification or mutation of the ,2026
41665944,Shared T-Cell Receptor Repertoire in the Tonsils of Patients with Immunoglobulin A Nephropathy.,"Aberrant mucosal immune responses are underlying causes of Immunoglobulin A nephropathy (IgAN), the most prevalent type of chronic glomerulonephritis. However, the role of T cells in IgAN pathogenesis remains elusive. To address this knowledge gap, we profiled the T-cell receptor (TCR) repertoire in the tonsils of patients with IgAN.",2026
41652507,TCRcloud: a global visualization tool for T-cell and B-cell receptor transcripts.,"Deep 'bulk' T-cell receptor (TCR) sequencing is a comprehensive approach to gauge the TCR repertoire in clinical specimens to address spatio-temporal differences in TCR compositions. Clonal T-cell expansion in the course of anti-cancer directed cellular immune responses can be antigen-driven, either by commonly shared or mutant tumor-associated antigens (TAAs), by viral targets, or reflect 'bystander activation' of T-cell clones. Different analytic tools and platforms are available to describe the molecular texture of the TCR composition. We report here on an open-access platform 'TCRcloud' that enables to address the unmet need to visualize TCR diversity in cellular immune response, e.g. to checkpoint blockade therapies, termed 'clonal replacement'. We took advantage of a publicly available dataset that linked TCR composition analysis with clinically relevant responses to immune checkpoint inhibitor (ICI) treatment and visualized the TCR changes using the TCRcloud platform described in this report. In order to test 'real world data', we visualized TCRs and B-cell receptors (BCRs) in blood and matching tumor tissue from 3 patients with pancreatic cancer.",2026
41638924,Cytokine mRNA-based therapy alleviates dendritic cell and T cell paucity to eliminate aggressive pancreatic cancer in preclinical mouse models.,"Pancreatic ductal adenocarcinoma (PDAC) with peritoneal dissemination is highly refractory to chemotherapy and immunotherapy, leading to poor prognosis. We aimed to develop an innovative therapeutic approach for advanced PDAC.",2026
41624423,T-cell receptor sequencing for detection of Epstein-Barr and cytomegalovirus-specific immune responses in glioma patients: An exploratory study.,Specific herpesviruses have been implicated in glioma development. We undertook a pilot study to examine whether herpesviruses-specific human T-cell receptor (TCR) sequences in patient blood samples associate with glioma grade and survival.,2025
41612506,Multi-omics profiling reveals intrathymic triggers and novel biomarkers in thymoma-associated myasthenia gravis.,"The pathogenic mechanisms through which thymoma induces myasthenia gravis (MG) remain incompletely understood. While MG pathogenesis involves neuromuscular junction defects and peripheral immune dysregulation, the specific contribution of thymoma microenvironment is poorly defined.",2026
41593242,Clonal CD8,"Meningeal immune cells monitor the central nervous system (CNS) and influence neuroinflammation in mice, but the human leptomeningeal immune landscape and the changes that occur in this immunological niche in neurodegeneration remain underexplored. Here we performed single-cell RNA and T cell receptor (TCR) sequencing of 99,625 high-quality immune cells from 57 leptomeninges and brain samples from donors with Alzheimer's disease (AD), amyotrophic lateral sclerosis and Parkinson's disease and found that although the leptomeninges are home to highly clonally expanded CD8 tissue-resident memory (T",2026
41591474,Oligoclonal B cell expansion and passenger fusion genes predict response to Nivolumab in recurrent ovarian cancer: phase II Kyoto trial.,We previously reported a phase II Kyoto trial for platinum-resistant ovarian cancer (n = 20) using nivolumab (anti-programmed cell death-1 [PD-1] antibody). We evaluated the associations between clinical outcomes and transcriptomics and T and B cell clonality from tumor and blood cells.,2026
41583486,"A fundamental relationship between TCR diversity, repertoire size and systemic clonal expansion: insights from 30,000 TCR","T cell receptor (TCR) diversity is essential for immune defense, yet the mechanisms underlying its decline with age and its variation among individuals remain poorly understood. These patterns are typically attributed to passive processes such as thymic atrophy and cumulative immune exposures. However, this view does not account for the systematic and highly structured variation in TCR diversity observed across large populations.",2025
41574275,Comparative analysis of malignant pleural effusion and peripheral blood reveals unique T cell signatures associated with survival in mesothelioma patients.,"The success of cancer immunotherapies has highlighted the importance of monitoring the anti-tumour T cell response. Patients with mesothelioma frequently present with a malignant pleural effusion (MPE) that is commonly drained regularly to alleviate symptoms. As MPE contains tumour cells, T cells and cytokines, it provides a unique opportunity to sample immune events at the tumour site. However, there is minimal information on how MPE T cells are distinct from those in the blood, and whether T cell phenotypes unique to each compartment correlate with survival. We characterised T cell populations of matched MPE and blood from 31 mesothelioma patients using flow cytometry and bulk T cell receptor beta (TCRβ) sequencing. MPE CD8",2026
41565657,Evolution of the tuberculin skin test reveals generalisable Mtb-reactive T cell metaclones.,"T cells contribute to immune protection and pathogenesis in tuberculosis, but measurements of polyclonal responses have failed to resolve correlates of outcome. We report the temporal evaluation of the human in vivo clonal repertoire of Mycobacterium tuberculosis (Mtb)-reactive T cell responses, by T cell receptor (TCR) sequencing at the site of the tuberculin skin test, as a model for a standardised antigenic challenge. Initial non-selective recruitment of T cells is followed by enrichment of Mtb-reactive clones arising from oligoclonal T cell proliferation. We introduce a modular computational pipeline, Metaclonotypist, to sensitively cluster distinct TCRs with shared epitope specificity, which we apply here to establish a catalogue of public Mtb-reactive HLA-restricted T cell metaclones. Although most in vivo Mtb-reactive T cells are private, 10 metaclones were sufficient to identify Mtb-T cell reactivity across our study population (N≥128), indicating striking population level immunodominance of specific TCR-peptide interactions that may inform patient stratification and vaccine development.",2026
41562097,Comprehensive self-antigen screening to assess cross-reactivity in promiscuous T-cell receptors.,"T cell receptor (TCR) therapeutics are an emerging modality of biologic and cell-based medicines with the unique ability to target intracellular antigens and finely discriminate between healthy and infected or mutated cells. An obstacle to the development of new TCR therapeutics is the difficulty in engineering these proteins for enhanced therapeutic efficacy while avoiding introduction of unexpected off-target autoreactivity. In this study, we conduct functional high-throughput screening to profile all possible genome-encoded peptides for ability to trigger response in an engineered candidate therapeutic TCR and assess risk of off-target toxicity. We used multiple approaches for constructing comprehensive self-antigen cell libraries and highlight key considerations for designing toxicity screening campaigns using high-throughput TCR profiling in a live cell context. We then use Tope-seq to screen epitope libraries against a model therapeutic candidate TCR and show that this strategy can be used to detect known cross-reactive epitopes from libraries of >5 × 10",2025
41560569,"Immune repertoire profiling in immune thrombocytopenia: A path towards biomarkers, for The British Journal of Haematology.",Schmidt-Barbo et al. High pre-treatment peripheral blood T cell receptor (TCR) clonality as a predictor of prolonged response in immune thrombocytopenia to the British Journal of Haematology. Br J Haematol 2026;208:784-788 and Jauch et al. Efficacy and safety of eltrombopag in combination with dexamethasone as first-line treatment in adult patients with newly diagnosed immune thrombocytopenia for the British Journal of Haematology. Br J Haematol 2026;208:789-793.,2026
41553639,Aging reshapes the osteosarcoma ecosystem through immune dysfunction and tumor cell reprogramming.,"Osteosarcoma (OS) is a highly aggressive bone malignancy with particularly poor clinical outcomes in elderly patients. However, how aging reshapes the tumor immune microenvironment and tumor-intrinsic programs in OS remains largely unexplored. This study aimed to delineate age-associated remodeling of the OS tumor ecosystem and to uncover mechanisms underlying the unfavorable prognosis of elderly patients.",2026
